ORG;URL;
ForschungRegion Braunschweig e.V.;https://www.forschungregion.de/;
Hochschule für Bildende Künste Braunschweig;https://www.hbk-bs.de/;
Ostfalia Hochschule für angewandte Wissenschaften – Hochschule Braunschweig/Wolfenbüttel ;https://www.ostfalia.de/;
Technische Universität Braunschweig;https://www.tu-braunschweig.de/;
Technische Universität Clausthal;https://www.tu-clausthal.de/;
Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR);https://www.dlr.de/;
Forschungsflughafen Braunschweig GmbH;https://www.forschungsflughafen.de/;
Fraunhofer-Institut für Holzforschung Wilhelm-Klauditz-Institut WKI;https://www.wki.fraunhofer.de/;
Fraunhofer-Institut für Schicht- und Oberflächentechnik IST;https://www.ist.fraunhofer.de/;
Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut;http://www.gei.de/;
Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) gGmbH;https://www.grs.de/;
Helmholtz-Zentrum für Infektionsforschung GmbH;https://www.helmholtz-hzi.de/;
Internationale Forschungsgemeinschaft Futtermitteltechnik e.V.;https://www.iff-braunschweig.de/;
Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;https://www.dsmz.de/;
Städtisches Klinikum Braunschweig gGmbH;https://klinikum-braunschweig.de/;
Open Hybrid LabFactory e. V.;https://open-hybrid-labfactory.de/;
Herzog August Bibliothek Wolfenbüttel;https://www.hab.de/;
Bundesamt für Strahlenschutz (BfS);https://www.bfs.de/;
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit;https://www.bvl.bund.de/;
Bundesstelle für Flugunfalluntersuchung BFU;https://www.bfu-web.de/;
Julius Kühn-Institut (JKI), Bundesforschungsinstitut für Kulturpflanzen;https://www.julius-kuehn.de/;
Luftfahrt-Bundesamt;https://www.lba.de/;
Physikalisch-Technische Bundesanstalt (PTB);https://www.ptb.de/;
Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei;https://www.thuenen.de/;
3Landesmuseen Braunschweig;https://3landesmuseen-braunschweig.de/;
Braunschweigische Wissenschaftliche Gesellschaft;http://bwg-nds.de/;
phaeno gGmbH;https://www.phaeno.de/;
Stadt Braunschweig;https://www.braunschweig.de/;
VDI Verein Deutscher Ingenieure e.V. - VDI Braunschweiger Bezirksverein e.V.;https://www.vdi.de/;
Volkswagen AG;https://www.volkswagenag.com/;
