ORG;URL;
GEOMAR Helmholtz Zentrum für Ozeanforschung Kiel StöR SH;https://www.geomar.de/;
GEOMAR - Boknis Eck Time Series Station;https://www.bokniseck.de/
GEOMAR - Laptev Sea System;https://www.transdrift.info/;
GEOMAR - Biodiversity changes - causes, consequences and management implications BIO-C3;https://www.bio-c3.eu/;
GEOMAR - Inactive;https://www.otto-schmidt-laboratory.de/;
GEOMAR - Brachiopods As SEnsitive tracers of gLobal mariNe Environment: Insights from alkaline, alkaline Earth metal, and metalloid trace element ratios and isotope systems - BASE-LINE Earth;https://www.baseline-earth.eu/;
GEOMAR - Submarine Gas Hydrate Reservoirs - SUGAR;https://www.sugar-projekt.de/;
GEOMAR - PalMod;https://www.palmod.de/;
GEOMAR - DISCOL – a DIS-turbance and re-COL-onization experiment;https://www.discol.de/;
GEOMAR - Baltic Gender;https://www.baltic-gender.eu/;
GEOMAR - Helmholtz Metadata Collaboration (HMC);https://www.helmholtz-metadaten.de/;
GEOMAR - D i g i t a l _ E a r t h;https://www.digitalearth-hgf.de/;
GEOMAR - Deutschen Meerespreis;https://www.deutscher-meerespreis.de/;
GEOMAR - MarDATA - Helmholtz Information & Data Science Academy;https://www.mardata.de/;
GEOMAR - Ocean Stories EBUS (Eastern Boundary Upwelling Systems);https://www.ebus-climate-change.de/;
GEOMAR - ExPloTect: Ex-situ, near-real-time exPlosive compound deTection in seawater;https://www.explotect.eu/;
GEOMAR - OceanNETs – ocean-based negative emissions technologies;https://www.oceannets.eu/;
GEOMAR - BASTA - Boost Applied munition detection through Smart data inTegration and AI workflows;https://www.basta-munition.eu/;
GEOMAR - Core Log Seismic Integration Centre;https://www.cls-i.de/;
GEOMAR - HOTMIC;https://www.hotmic.eu/;
GEOMAR - SMART - Sustainable management of offshore groundwater resources;https://www.offshoregroundwater.com/;
Deutsches Elektronen-Synchrotron DESY StbR;https://www.desy.de/;
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung StöR;https://www.awi.de/;
Helmholtz-Zentrum Hereon GmbH;https://www.hereon.de/;
Max Delbrück Center KöR;https://www.mdc-berlin.de/;
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH (HZB);https://www.helmholtz-berlin.de/;
Helmholtz-Zentrum Potsdam Deutsches GeoForschungsZentrum GFZ StöR BB;https://www.gfz-potsdam.de/;
Helmholtz-Zentrum für Infektionsforschung GmbH;https://www.helmholtz-hzi.de/;
Helmholtz-Centre for Environmental Research GmbH;https://www.ufz.de/;
Forschungszentrum Jülich GmbH;https://www.fz-juelich.de/;
Deutsches Zentrum für Luft- und Raumfahrt e.V.;https://www.dlr.de/;
Helmholtz-Zentrum Dresden - Rossendorf e. V.;https://www.hzdr.de/;
Deutsches Zentrum für Neurodegenerative Erkrankungen e. V. (DZNE);https://www.dzne.de/;
GSI Helmholtzzentrum für Schwerionenforschung GmbH;https://www.gsi.de/;
CISPA – Helmholtz-Zentrum für Informationssicherheit gGmbH;https://cispa.de/;
DKFZ - Deutsches Krebsforschungszentrum StöR;https://www.dkfz.de/;
KIT - Karlsruher Institut für Technologie KöR;https://www.kit.edu/;
Deutsches Forschungszentrum für Gesundheit und Umwelt GmbH;https://www.helmholtz-munich.de/;
